,지역명,연도,월,분양가격(㎡)
0,서울,2015,10,5841
1,인천,2015,10,3163
2,경기,2015,10,3138
3,부산,2015,10,3112
4,대구,2015,10,2682
5,광주,2015,10,2420
6,대전,2015,10,2454
7,울산,2015,10,3053
8,세종,2015,10,2642
9,강원,2015,10,2167
10,충북,2015,10,2032
11,충남,2015,10,2099
12,전북,2015,10,2054
13,전남,2015,10,1925
14,경북,2015,10,2148
15,경남,2015,10,2291
16,제주,2015,10,2232
17,서울,2015,11,6050
18,인천,2015,11,3184
19,경기,2015,11,3098
20,부산,2015,11,3131
21,대구,2015,11,2749
22,광주,2015,11,2424
23,대전,2015,11,2454
24,울산,2015,11,3043
25,세종,2015,11,2648
26,강원,2015,11,2171
27,충북,2015,11,2004
28,충남,2015,11,2100
29,전북,2015,11,2057
30,전남,2015,11,1909
31,경북,2015,11,2190
32,경남,2015,11,2298
33,제주,2015,11,2232
34,서울,2015,12,6041
35,인천,2015,12,3184
36,경기,2015,12,3198
37,부산,2015,12,3127
38,대구,2015,12,2962
39,광주,2015,12,2476
40,대전,2015,12,2454
41,울산,2015,12,3043
42,세종,2015,12,2665
43,강원,2015,12,2171
44,충북,2015,12,2005
45,충남,2015,12,2269
46,전북,2015,12,1983
47,전남,2015,12,1909
48,경북,2015,12,2181
49,경남,2015,12,2307
50,제주,2015,12,2268
51,서울,2016,1,6108
52,인천,2016,1,3191
53,경기,2016,1,3198
54,부산,2016,1,3152
55,대구,2016,1,3086
56,광주,2016,1,2569
57,대전,2016,1,2454
58,울산,2016,1,3046
59,세종,2016,1,2665
60,강원,2016,1,2173
61,충북,2016,1,2008
62,충남,2016,1,2270
63,전북,2016,1,1980
64,전남,2016,1,1909
65,경북,2016,1,2181
66,경남,2016,1,2327
67,제주,2016,1,2268
68,서울,2016,2,6111
69,인천,2016,2,3192
70,경기,2016,2,3219
71,부산,2016,2,3154
72,대구,2016,2,3064
73,광주,2016,2,2569
74,대전,2016,2,2454
75,울산,2016,2,3046
76,세종,2016,2,2665
77,강원,2016,2,2173
78,충북,2016,2,2008
79,충남,2016,2,2272
80,전북,2016,2,1980
81,전남,2016,2,1923
82,경북,2016,2,2179
83,경남,2016,2,2358
84,제주,2016,2,2268
85,서울,2016,3,6173
86,인천,2016,3,3190
87,경기,2016,3,3215
88,부산,2016,3,3178
89,대구,2016,3,3119
90,광주,2016,3,2590
91,대전,2016,3,2454
92,울산,2016,3,3066
93,세종,2016,3,2670
94,강원,2016,3,2194
95,충북,2016,3,1980
96,충남,2016,3,2115
97,전북,2016,3,1951
98,전남,2016,3,1921
99,경북,2016,3,2179
100,경남,2016,3,2383
101,제주,2016,3,2314
102,서울,2016,4,6241
103,인천,2016,4,3238
104,경기,2016,4,3199
105,부산,2016,4,3169
106,대구,2016,4,3132
107,광주,2016,4,2700
108,대전,2016,4,2449
109,울산,2016,4,3072
110,세종,2016,4,2680
111,강원,2016,4,2140
112,충북,2016,4,1968
113,충남,2016,4,2169
114,전북,2016,4,1909
115,전남,2016,4,1925
116,경북,2016,4,2177
117,경남,2016,4,2391
118,제주,2016,4,2719
119,서울,2016,5,6264
120,인천,2016,5,3179
121,경기,2016,5,3443
122,부산,2016,5,3148
123,대구,2016,5,3132
124,광주,2016,5,2722
125,대전,2016,5,2465
126,울산,2016,5,3077
127,세종,2016,5,2680
128,강원,2016,5,2117
129,충북,2016,5,1980
130,충남,2016,5,2166
131,전북,2016,5,1945
132,전남,2016,5,1927
133,경북,2016,5,2176
134,경남,2016,5,2381
135,제주,2016,5,2691
136,서울,2016,6,6208
137,인천,2016,6,3204
138,경기,2016,6,3542
139,부산,2016,6,3150
140,대구,2016,6,3134
141,광주,2016,6,2737
142,대전,2016,6,2562
143,울산,2016,6,3069
144,세종,2016,6,2683
145,강원,2016,6,2104
146,충북,2016,6,2047
147,충남,2016,6,2198
148,전북,2016,6,1931
149,전남,2016,6,1968
150,경북,2016,6,2238
151,경남,2016,6,2389
152,제주,2016,6,2827
153,서울,2016,7,6254
154,인천,2016,7,3222
155,경기,2016,7,3531
156,부산,2016,7,3158
157,대구,2016,7,3130
158,광주,2016,7,2742
159,대전,2016,7,2562
160,울산,2016,7,3069
161,세종,2016,7,2687
162,강원,2016,7,2101
163,충북,2016,7,2075
164,충남,2016,7,2198
165,전북,2016,7,1929
166,전남,2016,7,1968
167,경북,2016,7,2248
168,경남,2016,7,2375
