,지역명,분양가격(㎡),연도,월
3,서울,5511,2013,12
4,부산,2457,2013,12
5,대구,2448,2013,12
6,인천,3092,2013,12
7,광주,1847,2013,12
8,대전,2521,2013,12
9,울산,2451,2013,12
10,경기,3289,2013,12
11,세종,2303,2013,12
12,강원,1887,2013,12
13,충북,1996,2013,12
14,충남,1928,2013,12
15,전북,1903,2013,12
16,전남,1720,2013,12
17,경북,1869,2013,12
18,경남,1961,2013,12
19,제주,2325,2013,12
3,서울,5431,2014,1
4,부산,2457,2014,1
5,대구,2448,2014,1
6,인천,3092,2014,1
7,광주,2220,2014,1
8,대전,2521,2014,1
9,울산,2451,2014,1
10,경기,3289,2014,1
11,세종,2303,2014,1
12,강원,1887,2014,1
13,충북,1996,2014,1
14,충남,1928,2014,1
15,전북,1903,2014,1
16,전남,1720,2014,1
17,경북,1869,2014,1
18,경남,1965,2014,1
19,제주,2393,2014,1
3,서울,5431,2014,2
4,부산,2750,2014,2
5,대구,2447,2014,2
6,인천,3153,2014,2
7,광주,2306,2014,2
8,대전,2521,2014,2
9,울산,2451,2014,2
10,경기,3270,2014,2
11,세종,2282,2014,2
12,강원,1887,2014,2
13,충북,2003,2014,2
14,충남,1933,2014,2
15,전북,1801,2014,2
16,전남,1720,2014,2
17,경북,1889,2014,2
18,경남,1970,2014,2
19,제주,2393,2014,2
3,서울,5459,2014,3
4,부산,2716,2014,3
5,대구,2454,2014,3
6,인천,3153,2014,3
7,광주,2226,2014,3
8,대전,2527,2014,3
9,울산,2470,2014,3
10,경기,3267,2014,3
11,세종,2367,2014,3
12,강원,1860,2014,3
13,충북,2007,2014,3
14,충남,1905,2014,3
15,전북,1807,2014,3
16,전남,1726,2014,3
17,경북,1914,2014,3
18,경남,2003,2014,3
19,제주,2393,2014,3
3,서울,5484,2014,4
4,부산,2849,2014,4
5,대구,2505,2014,4
6,인천,3030,2014,4
7,광주,2226,2014,4
8,대전,2527,2014,4
9,울산,2470,2014,4
10,경기,3295,2014,4
11,세종,2396,2014,4
12,강원,1931,2014,4
13,충북,2023,2014,4
14,충남,1985,2014,4
15,전북,1902,2014,4
16,전남,1738,2014,4
17,경북,1943,2014,4
18,경남,1999,2014,4
19,제주,2393,2014,4
3,서울,5892,2014,5
4,부산,2879,2014,5
5,대구,2507,2014,5
6,인천,2983,2014,5
7,광주,2279,2014,5
8,대전,2527,2014,5
9,울산,2470,2014,5
10,경기,3226,2014,5
11,세종,2404,2014,5
12,강원,1924,2014,5
13,충북,1999,2014,5
14,충남,1997,2014,5
15,전북,1910,2014,5
16,전남,1713,2014,5
17,경북,1942,2014,5
18,경남,2003,2014,5
19,제주,2393,2014,5
3,서울,5717,2014,6
4,부산,2864,2014,6
5,대구,2533,2014,6
6,인천,3047,2014,6
7,광주,2320,2014,6
8,대전,2525,2014,6
9,울산,2470,2014,6
10,경기,3110,2014,6
11,세종,2444,2014,6
12,강원,1924,2014,6
13,충북,1996,2014,6
14,충남,2013,2014,6
15,전북,1924,2014,6
16,전남,1699,2014,6
17,경북,1986,2014,6
